DL
N=1898
FORMAT=EDGELIST1
DATA:
        2   1244  6.00
        4    753  1.00
        4   1132  4.00
        4   1337  1.00
        5     18  6.00
        5     37  6.00
        5   1002  1.00
        5   1023  1.00
        5   1053  1.00
        7    497  1.00
        7    768  2.00
        7    897  3.00
        7   1056  4.00
        7   1189  2.00
        8     45  1.00
        8    310  2.00
        8    317  1.00
        8    423  1.00
        8    576  1.00
        8    631  1.00
        8   1290  2.00
       11    169  1.00
       11    190  1.00
       12    245  1.00
       12    579  4.00
       12   1213  6.00
       12   1280  6.00
       12   1313  3.00
       12   1372  2.00
       13    431  1.00
       14    365  3.00
       14    458  2.00
       14    534  1.00
       14    546  6.00
       14    551  1.00
       14   1070  2.00
       15   1167  3.00
       15   1252  3.00
       15   1343  2.00
       15   1484  3.00
       17     19  2.00
       17    174  4.00
       17    241  1.00
       17    918  6.00
       17   1180  2.00
       18      5  1.00
       18     37  1.00
       18    312  1.00
       18    313  1.00
       18   1163  1.00
       19    178  1.00
       19    250  3.00
       20    555  2.00
       22    976  6.00
       23     94  5.00
       23    789  4.00
       23   1152  2.00
       23   1186  6.00
       23   1365  3.00
       23   1460  3.00
       23   1470  3.00
       24    276  1.00
       24    415  5.00
       24    624  5.00
       24   1051  1.00
       24   1386  5.00
       24   1447  1.00
       26    103  1.00
       26    424  1.00
       27    648  6.00
       27   1416  1.00
       27   1428  1.00
       29    519  3.00
       30    212  4.00
       31    167  1.00
       31    928  2.00
       31    932  1.00
       31   1057  1.00
       31   1061  1.00
       33    294  1.00
       33    726  6.00
       33    925  3.00
       33   1089  2.00
       34     56  6.00
       34    279  3.00
       34    522  6.00
       35    275  2.00
       35   1120  2.00
       36    262  3.00
       36    661  1.00
       36    739  3.00
       37      5  4.00
       37     18  2.00
       37    329  2.00
       37    433  2.00
       37    794  2.00
       37    855  3.00
       37    958  1.00
       39     95  3.00
       39     98  4.00
       39    420  4.00
       39    832  1.00
       39    977  1.00
       40   1287  5.00
       42     43  5.00
       42     44  5.00
       42    304  5.00
       42   1308  2.00
       44     42  6.00
       44     43  6.00
       44    304  3.00
       44    414  2.00
       44    490  2.00
       44    698  3.00
       44    827  4.00
       44   1308  3.00
       44   1415  4.00
       45   1079  3.00
       45   1082  2.00
       46    227  1.00
       46    306  2.00
       46    450  2.00
       46    853  1.00
       46    868  2.00
       46   1067  5.00
       46   1071  2.00
       46   1299  1.00
       46   1500  1.00
       47    276  1.00
       47    598  1.00
       47   1013  3.00
       47   1017  3.00
       47   1064  1.00
       48    598  6.00
       48   1100  6.00
       48   1237  4.00
       48   1239  3.00
       49    199  2.00
       49   1434  2.00
       51    933  4.00
       52    221  3.00
       52    465  3.00
       52   1068  4.00
       52   1186  3.00
       52   1288  4.00
       53     22  1.00
       53    313  1.00
       53   1443  2.00
       54    358  6.00
       54    391  4.00
       56    424  6.00
       56    524  4.00
       56    813  2.00
       56    960  6.00
       56   1319  6.00
       58    425  5.00
       58    624  3.00
       58    688  2.00
       58    892  2.00
       58   1330  6.00
       59   1066  3.00
       61    805  1.00
       61   1395  1.00
       62    145  1.00
       62    146  3.00
       62    174  1.00
       62    301  1.00
       62    360  1.00
       62    485  1.00
       62    862  1.00
       62    918  1.00
       62   1405  1.00
       63    791  6.00
       63   1281  1.00
       63   1350  6.00
       65    283  1.00
       65    644  3.00
       65    967  1.00
       65   1147  4.00
       65   1469  4.00
       68    326  6.00
       68    379  3.00
       68   1421  3.00
       69    112  4.00
       69    123  5.00
       69    680  2.00
       69    702  2.00
       69    731  1.00
       69    779  3.00
       69    854  1.00
       69   1381  6.00
       70    399  5.00
       70    704  5.00
       70   1198  5.00
       70   1222  1.00
       70   1256  3.00
       71    185  5.00
       71    790  3.00
       71   1003  6.00
       71   1180  2.00
       71   1357  2.00
       71   1453  2.00
       73    509  1.00
       73    716  4.00
       73    751  1.00
       73    898  4.00
       73    974  3.00
       73   1214  1.00
       73   1427  1.00
       74    113  3.00
       74    158  2.00
       74    466  3.00
       74    507  2.00
       74    915  2.00
       74    943  4.00
       74   1386  1.00
       76    996  2.00
       76   1147  2.00
       77    582  1.00
       77    867  1.00
       77   1029  1.00
       77   1187  2.00
       77   1416  2.00
       78    607  4.00
       80    358  2.00
       81     13  2.00
       81    464  1.00
       81    471  4.00
       81    489  3.00
       81    781  1.00
       81    800  4.00
       81   1397  1.00
       83     21  1.00
       83    278  1.00
       83    405  1.00
       84    174  2.00
       84   1343  6.00
       85    312  3.00
       85    526  2.00
       85   1003  2.00
       85   1163  2.00
       85   1180  2.00
       85   1357  2.00
       86    179  6.00
       86    372  6.00
       86    403  2.00
       86    528  4.00
       86    632  3.00
       86    700  2.00
       86    755  2.00
       86    798  4.00
       87     22  4.00
       87     32  3.00
       87    480  5.00
       87    504  4.00
       87    664  6.00
       87    805  3.00
       87    909  3.00
       87   1220  4.00
       88    165  1.00
       88    213  2.00
       88    310  6.00
       88    423  1.00
       88    586  1.00
       88    742  1.00
       88   1136  1.00
       88   1393  1.00
       89    713  3.00
       89   1025  1.00
       89   1498  1.00
       91    237  3.00
       91    267  6.00
       93    233  3.00
       93    610  2.00
       93    820  1.00
       93   1307  3.00
       93   1398  3.00
       94     81  1.00
       94    209  2.00
       94   1207  2.00
       95     39  6.00
       95     98  5.00
       95    420  6.00
       95    832  1.00
       95    977  1.00
       95   1115  6.00
       96    710  4.00
       97   1423  5.00
       98    420  5.00
       98    977  2.00
       98   1287  1.00
       98   1380  1.00
      101    404  4.00
      101    754  5.00
      101    762  5.00
      101    907  4.00
      101    934  4.00
      101   1374  2.00
      102     84  3.00
      102    314  4.00
      103    239  3.00
      103    424  4.00
      103    788  4.00
      103   1146  4.00
      106    388  3.00
      106    585  1.00
      106    625  1.00
      106    854  2.00
      106    981  1.00
      106   1291  2.00
      106   1302  2.00
      108     98  2.00
      108    245  1.00
      108    420  2.00
      108    521  2.00
      108    867  5.00
      108   1187  5.00
      108   1287  2.00
      109    107  1.00
      109    167  1.00
      109   1004  1.00
      109   1279  3.00
      110    399  2.00
      110    477  3.00
      110   1260  2.00
      111    654  6.00
      112     69  4.00
      112    702  2.00
      112    802  5.00
      112   1483  5.00
      113     74  4.00
      113    107  6.00
      113    110  6.00
      113    381  5.00
      113    466  6.00
      113    663  4.00
      113    682  2.00
      113    804  4.00
      113    844  4.00
      113    845  5.00
      117     74  3.00
      117    158  2.00
      117    466  3.00
      117    663  2.00
      117    915  6.00
      117   1364  1.00
      119     28  2.00
      119    905  2.00
      119   1130  2.00
      119   1165  2.00
      120    301  4.00
      120    867  4.00
      120    873  5.00
      120    993  4.00
      120   1142  5.00
